"","number","speed","step","tcycle","freq","hip_stand","tpush","tseat","tglide","shin_stand","knee_stand","пол"
"1",7,2.04464285714286,2.29,1.12,53.5714285714286,107.4,0.24,0.28,0.38,72.6,130.2,"ж"
"2",8,1.63888888888889,1.77,1.08,55.5555555555556,106.4,0.34,0.38,0.32,77.1,131.9,"ж"
"3",10,1.96938775510204,1.93,0.98,61.2244897959184,94.9,0.26,0.32,0.32,77.1,119.9,"ж"
"4",13,2.19491525423729,2.59,1.18,50.8474576271186,100.1,0.38,0.28,0.46,76.9,125,"ж"
"5",15,2.53389830508475,2.99,1.18,50.8474576271186,82,0.35,0.4,0.36,78.8,128.4,"ж"
"6",19,2.88888888888889,3.12,1.08,55.5555555555556,85.1,0.24,0.2,0.48,71,108.9,"ж"
"7",27,2.18181818181818,2.88,1.32,45.4545454545455,106.5,0.32,0.46,0.42,65.3,119.8,"ж"
"8",30,2.140625,2.74,1.28,46.875,107.9,0.34,0.2,0.52,68.7,126.8,"ж"
"9",31,2.2719298245614,2.59,1.14,52.6315789473684,111.5,0.36,0.26,0.38,78.8,132.6,"ж"
"10",32,2.32089552238806,3.11,1.34,44.7761194029851,100.1,0.42,0.38,0.43,78.3,120.3,"ж"
"11",34,3.11538461538462,3.24,1.04,57.6923076923077,88.4,0.34,0.28,0.3,72.7,114.1,"ж"
"12",36,2.67241379310345,3.1,1.16,51.7241379310345,101.9,0.32,0.22,0.48,80.1,121.8,"ж"
"13",41,2.05882352941176,2.1,1.02,58.8235294117647,89.8,0.24,0.34,0.36,77.4,124,"ж"
"14",49,2.31147540983607,2.82,1.22,49.1803278688525,97.4,0.26,0.42,0.37,75.6,129.3,"ж"
"15",50,1.95192307692308,2.03,1.04,57.6923076923077,97.3,0.32,0.22,0.42,92.1,150.6,"ж"
"16",53,2.5,2.6,1.04,57.6923076923077,91.1,0.34,0.22,0.32,77.1,116.1,"ж"
"17",58,2.15,2.15,1,60,109.6,0.24,0.26,0.36,82.2,129.5,"ж"
"18",63,2.17213114754098,2.65,1.22,49.1803278688525,101.4,0.39,0.28,0.38,76.1,127.4,"ж"
"19",67,2.18,2.18,1,60,101.3,0.26,0.38,0.27,72,123.4,"ж"
"20",70,2.26,2.26,1,60,97.9,0.28,0.32,0.3,76.4,125.3,"ж"
"21",72,2.19491525423729,2.59,1.18,50.8474576271186,108.1,0.32,0.28,0.36,77.9,130.4,"ж"
"22",75,2.43382352941176,3.31,1.36,44.1176470588235,97,0.42,0.26,0.48,86.9,132,"ж"
"23",77,2.81034482758621,3.26,1.16,51.7241379310345,101.8,0.4,0.38,0.36,75,123.6,"ж"
